IDProduto,CodProd,Preco,PrecoProm,DataPromInicio,DataPromFim
5476263,COMBO11 ST - 26,"921,9","763,9",24/03/2016 12:00,01/01/2049 00:00
4070100,COMBO11 ST - 2,822,664,24/03/2016 12:00,01/01/2049 00:00
4070101,COMBO12 ST - 2,"1.071,00",865,24/03/2016 12:00,01/01/2049 00:00
5476271,COMBO12 ST - 26,"1.200,00","994,8",24/03/2016 12:00,01/01/2049 00:00
4024280,COMBO12 ST - 1,"1.071,00",865,24/03/2016 12:00,01/01/2049 00:00
4024281,COMBO12 ST - 8,"1.071,00",865,24/03/2016 12:00,01/01/2049 00:00
3817777,COMBO12 ST,"1.071,00",865,24/03/2016 12:00,01/01/2049 00:00
3817778,COMBO13 ST,"1.010,90",850,24/03/2016 12:00,01/01/2049 00:00
4024282,COMBO13 ST - 1,"1.010,90",850,24/03/2016 12:00,01/01/2049 00:00
4024283,COMBO13 ST - 8,"1.041,25",841,24/03/2016 12:00,01/01/2049 00:00
5476277,COMBO13 ST - 26,"1.159,90",978,24/03/2016 12:00,01/01/2049 00:00
4070102,COMBO13 ST - 2,"1.010,90",850,24/03/2016 12:00,01/01/2049 00:00
4070103,COMBO14 ST - 2,"1.074,00",819,24/03/2016 12:00,01/01/2049 00:00
5476291,COMBO14 ST - 26,"1.193,90",942,24/03/2016 12:00,01/01/2049 00:00
4024284,COMBO14 ST - 1,"1.074,00",819,24/03/2016 12:00,01/01/2049 00:00
4024285,COMBO14 ST - 8,"1.074,00",799,24/03/2016 12:00,01/01/2049 00:00
3817779,COMBO14 ST,"1.074,00",819,24/03/2016 12:00,01/01/2049 00:00
5476294,COMBO15 ST-26,574,"471,5",24/03/2016 12:00,01/01/2049 00:00
4835765,COMBO15 ST,"512,5",410,24/03/2016 12:00,01/01/2049 00:00
4835766,COMBO15 ST-1,"512,5",410,24/03/2016 12:00,01/01/2049 00:00
4835768,COMBO15 ST-8,"512,5",410,24/03/2016 12:00,01/01/2049 00:00
4835770,COMBO15 ST-2,"512,5",410,24/03/2016 12:00,01/01/2049 00:00
4910323,COMBO16 ST,"1.025,00",820,24/03/2016 12:00,01/01/2049 00:00
4910326,COMBO16 ST -1,"1.025,00",820,24/03/2016 12:00,01/01/2049 00:00
4910331,COMBO16 ST -2,"1.025,00",820,24/03/2016 12:00,01/01/2049 00:00
4910335,COMBO16 ST -8,"1.025,00",820,24/03/2016 12:00,01/01/2049 00:00
5476295,COMBO16 ST -26,"1.148,00",943,24/03/2016 12:00,01/01/2049 00:00
5476297,COMBO17 ST-26,"625,85","514,1",24/03/2016 12:00,01/01/2049 00:00
4910345,COMBO17 ST,"558,75",447,24/03/2016 12:00,01/01/2049 00:00
4910349,COMBO17 ST-1,"558,75",447,24/03/2016 12:00,01/01/2049 00:00
4910350,COMBO17 ST-2,"558,75",447,24/03/2016 12:00,01/01/2049 00:00
4910351,COMBO17 ST-8,"558,75",447,24/03/2016 12:00,01/01/2049 00:00
4070104,COMBO2 ST - 2,220,179,24/03/2016 12:00,01/01/2049 00:00
5476186,COMBO2 ST - 26,247,206,24/03/2016 12:00,01/01/2049 00:00
3817767,COMBO2 ST,220,179,24/03/2016 12:00,01/01/2049 00:00
4024287,COMBO2 ST - 8,220,179,24/03/2016 12:00,01/01/2049 00:00
4024288,COMBO2 ST - 1,220,179,24/03/2016 12:00,01/01/2049 00:00
4024290,COMBO3 ST - 1,370,290,24/03/2015 12:00,01/01/2049 00:00
4024291,COMBO3 ST - 8,344,279,24/03/2016 12:00,01/01/2049 00:00
3817768,COMBO3 ST,370,290,24/03/2016 12:00,01/01/2049 00:00
5476190,COMBO3 ST - 26,"383,52","333,5",27/04/2017 00:00,01/01/2049 00:00
4070105,COMBO3 ST - 2,370,319,24/03/2016 12:00,01/01/2049 00:00
4070106,COMBO4 ST - 2,222,179,24/03/2016 12:00,01/01/2049 00:00
5476191,COMBO4 ST - 26,249,206,24/03/2016 12:00,01/01/2049 00:00
3817769,COMBO4 ST,"212,5",179,24/03/2016 12:00,01/01/2049 00:00
4024292,COMBO4 ST - 1,222,179,24/03/2016 12:00,01/01/2049 00:00
4024293,COMBO4 ST - 8,222,179,24/03/2016 12:00,01/01/2049 00:00
4024296,COMBO5 ST - 1,340,275,24/03/2016 12:00,01/01/2049 00:00
4024297,COMBO5 ST - 8,340,275,24/03/2016 12:00,01/01/2049 00:00
3817770,COMBO5 ST,325,275,24/03/2016 12:00,01/01/2049 00:00
5476192,COMBO5 ST - 26,382,"316,5",24/03/2016 12:00,01/01/2049 00:00
4070107,COMBO5 ST - 2,340,275,24/03/2016 12:00,01/01/2049 00:00
4070108,COMBO6 ST - 2,172,139,24/03/2016 12:00,01/01/2049 00:00
5476246,COMBO6 ST - 26,193,160,24/03/2016 12:00,01/01/2049 00:00
3817771,COMBO6 ST,"166,25",139,24/03/2016 12:00,01/01/2049 00:00
4024298,COMBO6 ST - 1,172,139,24/03/2016 12:00,01/01/2049 00:00
4024299,COMBO6 ST - 8,172,139,24/03/2016 12:00,01/01/2049 00:00
4024300,COMBO7 ST - 1,301,236,24/03/2016 12:00,01/01/2049 00:00
4024301,COMBO7 ST - 8,301,236,24/03/2016 12:00,01/01/2049 00:00
3817772,COMBO7 ST,280,236,24/03/2016 12:00,01/01/2049 00:00
5476247,COMBO7 ST - 26,"312,22","271,5",27/04/2017 00:00,01/01/2049 00:00
4070109,COMBO7 ST - 2,301,236,24/03/2016 12:00,01/01/2049 00:00
4070110,COMBO8 ST - 2,"809,9",690,24/03/2016 12:00,01/01/2049 00:00
5476248,COMBO8 ST - 26,"939,9",794,24/03/2016 12:00,01/01/2049 00:00
3817773,COMBO8 ST,"809,9",690,24/03/2016 12:00,01/01/2049 00:00
4024302,COMBO8 ST - 1,"809,9",690,24/03/2016 12:00,01/01/2049 00:00
4024303,COMBO8 ST - 8,840,680,24/03/2016 12:00,01/01/2049 00:00
4024304,COMBO9 ST - 1,"356,25",285,24/03/2016 12:00,01/01/2049 00:00
4024305,COMBO9 ST - 8,"356,25",285,24/03/2016 12:00,01/01/2049 00:00
3817774,COMBO9 ST,"356,25",285,24/03/2016 12:00,01/01/2049 00:00
5476249,COMBO9 ST - 26,"359,9","327,8",24/03/2016 12:00,01/01/2049 00:00
4070111,COMBO9 ST - 2,"356,25",285,24/03/2016 12:00,01/01/2049 00:00
5530969,6010164,"225,9",139,12/12/2016 00:00,01/01/2049 00:00
5530970,6010164-1,"225,9",139,12/12/2016 00:00,01/01/2049 00:00
